item_id_A,item_id_B
1910931,102052
1910974,953515
1910985,102879
1910995,114252
1911032,98758
1911090,102056
1911173,2682291
1911187,103673
1911220,114252
1911252,99477
1911256,102695
1912003,1090689
1912007,1089547
1912020,1866136
1912022,100383
1912027,107206
1912028,97584
1912031,952197
1912036,104687
1912057,950914
1912058,1145070
1912078,99299
1912082,93709
1912083,1089556
1912085,111518
1912087,109711
1912088,950261
1912089,2037281
1912180,956803
1912208,107421
1912209,1872717
1912210,109366
1912211,950396
1912212,107443
1912213,108030
1912217,949851
1912251,100041
1912259,100041
1912288,951436
1912296,948603
1912303,115757
1912317,949670
1912318,949670
1912319,949642
1912323,952660
1912326,99869
1912328,102990
1912329,99867
1912332,99837
1912341,96357
1912343,954508
1912349,954507
1912352,104644
1912355,102950
1912356,102903
1912358,114587
1912365,109558
1912366,112841
1912367,111509
1912371,108981
1912374,111724
1912376,108961
1912378,111724
1912380,109299
1912408,110563
1912411,110456
1912446,1087397
1912450,105246
1912453,2156695
1912455,92073
1912483,1091215
1912486,1089743
1912490,102799
1912491,103902
1912495,105557
1912496,102753
1912497,102783
1912498,103910
1912499,96396
1912502,102739
1912503,99443
1912512,92627
1912513,91808
1912514,93190
1912521,2157040
1912529,96302
1912541,958562
1912547,93473
1912574,108966
1912577,1722438
1912578,1722477
1912586,109101
1912591,93839
1912593,954398
1912594,954252
1912595,954224
1912622,114303
1912623,109847
1912627,109514
1912635,1084594
1912711,105568
1912720,101072
1912724,105568
1912762,96038
1912771,96038
1912772,105680
1912773,96038
1912787,1868781
1912792,1891173
1912814,103504
1912822,1090631
1912824,1090633
1912827,96071
1912829,103495
1912832,1090384
1912835,103510
1912836,2031059
1912839,2683593
1912840,1089591
1912856,112889
1912857,108717
1912866,1086205
1912867,96344
1912897,102104
1912898,102104
1912899,2038575
1912942,2038576
1912956,2038574
1912961,97199
1912980,101176
1912988,95540
1913047,95460
1913065,98694
1913066,98695
1913067,952243
1913068,98693
1913071,98703
1913072,98690
1913073,98696
1913078,1084647
1913081,2159259
1913117,1087129
1913118,1086948
1913119,1847166
1913121,102569
1913124,105926
1913128,104884
1913138,1086577
1913139,1086576
1913150,100450
1913172,103921
1913178,101392
1913183,101390
1913191,100141
1913196,101388
1913205,105619
1913206,104488
1913209,101388
1913210,103718
1913226,1850109
1913345,2683761
1913351,1725341
1913355,1725343
1913358,114159
1913370,953710
1913408,88513
1913421,104868
1913427,98931
1913442,107946
1913443,107946
1913456,108332
1913469,104461
1913536,1090057
1913537,105041
1913540,96875
1913541,958515
1913542,98405
1913543,107563
1913549,1083287
1913574,102266
1913575,953213
1913582,952674
1913591,105605
1913609,1088543
1913615,1088543
1913618,2042087
1913622,101668
1913623,105337
1913624,101668
1913627,952996
1913629,953035
1913633,2685719
1913639,954033
1913641,954427
1913642,954510
1913644,110087
1913647,114057
1913649,111002
1913656,113852
1913658,107380
1913668,97072
1913674,1090188
1913675,1090185
1913676,1090200
1913679,108616
1913680,108616
1913685,88071
1913693,91345
1913704,951655
1913706,106921
1913723,109378
1913725,107189
1913731,109381
1913741,950858
1913743,950863
1913745,113012
1913752,110991
1913753,110991
1913754,108256
1913756,948868
1913758,115602
1913759,115602
1913766,107990
1913773,1953553
1913774,948870
1913776,109439
1913780,109891
1913781,109891
1913786,1722519
1913789,948859
1913794,2684654
1913798,2684653
1913802,110111
1913803,110103
1913807,110024
1913809,948872
1913812,111685
1913815,948943
1913819,2684693
1913820,110111
1913822,110110
1913824,110002
1913827,1722518
1913832,108948
1913834,948869
1913837,108953
1913839,110026
1913843,948865
1913845,1722521
1913850,2021681
1913855,107977
1914070,103879
1914096,102338
1914102,1083245
1914161,951957
1914309,110856
1914328,113483
1914329,949103
1914331,113524
1914332,949138
1914337,1091498
1914340,112145
1914341,113777
1914342,949112
1914344,113777
1914346,115518
1914347,115518
1914359,2685850
1914362,102045
1914368,103211
1914373,102189
1914376,105441
1914377,105451
1914383,105441
1914384,105441
1914386,93909
1914395,114582
1914424,950733
1914429,113081
1914435,106819
1914446,113056
1914454,113069
1914459,113073
1914473,114507
1914476,2682169
1914478,2682168
1914489,114001
1914497,108023
1914498,949465
1914504,1722500
1914540,950520
1914541,950520
1914542,108804
1914544,107834
1914549,114412
1914550,1884135
1914551,1884136
1914552,1884119
1914553,113940
1914556,114496
1914557,113039
1914558,107262
1914570,102016
1914577,98818
1914578,98819
1914580,96587
1914582,952571
1914586,1089981
1914588,1092006
1914589,100470
1914590,953665
1914591,100467
1914592,100451
1914594,100474
1914595,104912
1914597,100463
1914598,99312
1914602,103083
1914603,100505
1914606,100488
1914609,100485
1914627,109342
1914637,954805
1914638,954933
1914643,953476
1914646,97884
1914666,109484
1914672,104981
1914673,96342
1914684,98901
1914685,98903
1914686,98898
1914688,98907
1914689,98897
1914692,953839
1914693,953834
1914695,98905
1914701,115027
1914720,957968
1914723,957977
1914733,957990
1914735,957990
1914774,1865623
1914775,93715
1914779,1865624
1914782,954019
1914783,1717971
1914787,954095
1914788,94962
1914789,93887
1914790,94634
1914798,949792
1914799,106746
1914807,114145
1914812,113224
1914816,948882
1914820,107169
1914823,114305
1914828,110068
1914831,114628
1914840,953690
1914849,104351
1914852,104570
1914853,1087443
1914855,104502
1914857,1090004
1914860,96288
1914864,952208
1914874,1084373
1914876,1087424
1914878,952668
1914890,953518
1914898,102901
1914900,1847170
1914902,1091787
1914904,94551
1914905,94528
1914910,94566
1914919,94564
1914923,94533
1914924,94533
1914927,94615
1914928,94526
1914938,1088878
1914939,1088879
1914940,1088882
1914941,1088883
1914942,1088880
1914943,1088881
1914944,1088884
1914949,94495
1914953,94532
1914954,94525
1914967,94541
1914970,94529
1914971,94502
1914973,94503
1914974,94503
1914975,1089040
1914983,950577
1914992,113100
1914993,113100
1914995,950575
1915001,114406
1915002,114406
1915024,100184
1915027,96596
1915028,101953
1915029,952078
1915031,951249
1915060,2011584
1915061,2011584
1915066,93966
1915067,95273
1915073,111133
1915077,102575
1915086,949639
1915089,2684690
1915092,99652
1915096,954696
1915098,92851
1915139,112875
1915141,112875
1915142,106205
1915143,1089966
1915145,114177
1915149,950729
1915150,950729
1915151,112582
1915152,112582
1915154,112582
1915157,113631
1915159,113666
1915164,106518
1915165,112583
1915168,106348
1915169,106348
1915173,100438
1915175,953051
1915177,103008
1915179,103119
1915180,100433
1915181,102999
1915182,103275
1915186,103028
1915187,102989
1915188,103111
1915189,102949
1915191,103038
1915193,100418
1915195,110313
1915196,110313
1915198,948843
1915201,113904
1915204,952287
1915205,952287
1915211,952297
1915212,952262
1915217,952261
1915218,952261
1915222,952299
1915223,952299
1915226,952262
1915229,952300
1915231,952288
1915232,952288
1915233,952300
1915237,952235
1915239,952294
1915244,99192
1915247,114211
1915252,2685572
1915257,112754
1915263,114363
1915264,112061
1915283,108638
1915284,1090323
1915288,950572
1915292,949360
1915293,1091314
1915298,108639
1915299,949617
1915302,1091282
1915307,1090328
1915310,108649
1915311,1090325
1915313,1091295
1915315,1091310
1915316,1091283
1915324,108656
1915326,950475
1915327,1090267
1915328,949612
1915330,108652
1915331,951280
1915334,1476635
1915356,98122
1915357,97439
1915362,102135
1915364,102841
1915371,111729
1915383,953227
1915384,953227
1915385,102727
1915402,94086
1915413,93861
1915425,96609
1915427,109125
1915430,1090108
1915431,98484
1915434,98482
1915435,95576
1915436,95431
1915438,104200
1915440,104309
1915442,958105
1915444,958152
1915445,1089423
1915446,98484
1915447,99949
1915448,958164
1915453,102942
1915456,98492
1915458,1867009
1915459,95706
1915466,100259
1915468,100259
1915469,100248
1915473,100254
1915476,953068
1915477,953067
1915497,101831
1915510,93201
1915512,93205
1915514,92141
1915523,97877
1915524,1725669
1915529,97134
1915535,1867857
1915536,1867858
1915537,1867858
1915557,948972
1915560,948972
1915565,115527
1915628,102306
1915629,952880
1915630,952885
1915631,107901
1915635,95173
1915642,115743
1915643,115755
1915644,107328
1915657,99303
1915666,98494
1915672,1089141
1915673,1089141
1915674,114603
1915676,105455
1915724,950822
1915734,950510
1915738,957286
1915739,957283
1915754,950550
1915760,102808
1915763,1087328
1915765,953646
1915767,952870
1915781,98686
1915782,97721
1915786,100727
1915799,958666
1915801,91410
1915803,91405
1915807,91297
1915864,958664
1915868,958663
1915871,959553
1915872,958661
1915876,955229
1915877,958662
1915879,91422
1915891,103845
1915894,103392
1915911,105992
1915939,108932
1915944,115181
1915945,107836
1915948,107219
1915953,948924
1915954,948849
1915955,948924
1915957,950517
1915959,107941
